district_name,county_name,primary_city,total_households_isd,median_income_isd,mean_income_isd,district_rating_2019,district_rating_2019_num,grad_rate,dropout_rate,2016_property_value_total,2016_median_property_value,2016_isd_taxrate,2016_avg_annual_taxdue,2017_property_value_total,2017_median_property_value,2017_isd_taxrate,2017_avg_annual_taxdue,2018_property_value_total,2018_median_property_value,2018_isd_taxrate,2018_avg_annual_taxdue,2019_property_value_total,2019_median_property_value,2019_isd_taxrate,2019_avg_annual_taxdue,2020_property_value_total,2020_median_property_value,2020_isd_taxrate,2020_avg_annual_taxdue
aledo_isd,tarrant,aledo,8472,124106,154834,A,4,,,2801213966,443687,0.01595,7076.81,3233804397,452629,0.01595,7219.43255,3511183539,459829,0.01595,7334.27255,4138531764,495499,0.014933,7399.286567,4289395592,490579,0.014797,7259.1
allen_isd,collin,allen,35168,102425,129030,A,4,,,11269478262,307000,0.0159,4881.3,12631213594,336000,0.0159,5342.4,14056159659,358400,0.0155,5555.2,15203740934,373468,0.014589,5448.524652,16000000000,371000,0.014325,5314.58
anna_isd,collin,anna,4521,91239,94781,B,3,,,873125674,163000,0.0167,2722.1,1072845635,190000,0.0167,3173,1334814793,215300,0.0167,3595.51,1551389903,234271,0.0156835,3674.189229,1685000000,239000,0.014746,3524.29
argyle_isd,denton,argyle,3995,143902,175273,A,4,,,1522885752,427365,0.0157,6709.84,1797675755,442185,0.0158505,7008.853343,2117302043,474576,0.0158505,7522.266888,2444932358,480208,0.01508,7241.53664,2795959812,496433,0.014187,7042.89
arlington_isd,tarrant,arlington,127983,57889,76263,B,3,,,23663689942,156836,0.0139,2180.15,25860117566,174311,0.0136867,2385.742364,28394035776,187204,0.0136867,2562.204987,31895313003,210751,0.0129867,2736.960012,33177508553,209132,0.013871,2900.87
aubrey_isd,denton,aubrey,4005,89828,105492,A,4,,,829568400,204580,0.0151,3089.16,966347927,225863,0.0151,3410.5313,1049436496,241092,0.0159,3833.3628,1185617076,255287,0.0156835,4003.793665,1332791287,268222,0.015087,4046.67
azle_isd,tarrant,azle,13818,71697,94635,B,3,,,2452854874,161428,0.01203,1941.98,2625686995,179559,0.01329,2386.33911,2863135064,188683,0.01329,2507.59707,3243969761,211373,0.0124735,2636.561116,3388287778,212215,0.012474,2647.17
birdville_isd,tarrant,haltom_city,49719,62639,80955,B,3,,,8502481859,154497,0.01454,2246.23,9376091252,173010,0.014539,2515.39239,10191382861,186858,0.014539,2716.728462,11287704723,209462,0.013839,2898.744618,11892591862,210542,0.013803,2906.11
bland_isd,collin,merit,1252,82500,88947,A,4,,,10704420,139000,0.01488,2068.32,10883500,163000,0.014271,2326.173,12393707,192200,0.01364,2621.608,15498629,202653,0.0131,2654.7543,18500000,215000,0.011527,2478.31
blue_ridge_isd,collin,blue_ridge,1143,59826,82242,A,4,,,165247505,106000,0.01571,1665.26,208448105,151000,0.0157149,2372.9499,246325543,178300,0.0157149,2801.96667,302788316,205297,0.0156835,3219.7755,318000000,223000,0.01524,3398.52
