District Name,District Rating,,,,,,,Self-reported total tax rate,,,,,,,"T1 = School district taxable value before $10,000 homestead exemption",,,,,
,2016,2017,2018,2019,2020,5 year avg,,2016,2017,2018,2019,2020,5 year avg,,2016,2017,2018,2019,2020,5 year avg
Highland Park ISD (Dallas),,,,,,,,1.1573,1.18255,1.2107,1.1344,1.12465,1.16192,,16762708435,17373101920,18272685145,18969530666,19551125835,18185830400
Hurst-Euless-Bedford ISD,,,,,,,,1.316,1.263,1.273,1.22,1.198,1.254,,11180706987,12863100691,13815372860,15530423106,16502565544,13978433838
Irving ISD,,,,,,,,1.445,1.4314,1.4011,1.3051,1.2751,1.37154,,10634264410,11205868241,12159813982,14477473463,15781656685,12851815356
Joshua ISD,,,,,,,,1.61,1.6,1.52,1.44,1.396,1.5132,,1354116611,1423102039,1605233366,1742918134,1867441793,1598562389
Keller ISD,,,,,,,,1.52,1.52,1.51,1.4083,1.3947,1.4706,,15396016302,16947312374,18237460038,19995810612,20720821662,18259484198
Kennedale ISD,,,,,,,,1.486724,1.48,1.451694,1.35,1.3364,1.4209636,,1219065215,1314365492,1456973181,1635326688,1709993632,1467144842
Krum ISD,,,,,,,,1.54,1.54,1.54,1.39183,1.345082,1.4713824,,671796079,748251660,854353309,958436654,971499569,840867454.2
Lake Dallas ISD,,,,,,,,1.67,1.67,1.67,1.5683,1.5503,1.62572,,1612882015,1755698214,1946135625,2180642548,2312464972,1961564675
Lake Worth ISD,,,,,,,,1.67,1.67,1.67,1.5684,1.5102,1.61772,,826685491,910926675,1032236007,1122562511,1191091226,1016700382
Lancaster ISD,,,,,,,,1.54,1.54,1.53,1.52835,1.4999,1.52765,,2086062973,2312785684,2654621965,3134398604,3463372343,2730248314
Leonard ISD,,,,,,,,1.2662,1.25906,1.17,1.06835,0.9801,1.148742,,167421643,187521675,217877964,244909393,277174776,218981090.2
Lewisville ISD,,,,,,,,1.42,1.4075,1.4075,1.3375,1.3473,1.38396,,32662025500,35953941515,39078281975,42669300142,45384656531,39149641133
Little Elm ISD,,,,,,,,1.54,1.54,1.64,1.5383,1.4936,1.55038,,3261071095,3865118227,4596711407,5178411664,5650138354,4510290149
Lovejoy ISD,,,,,,,,1.67,1.67,1.67,1.56835,1.5547,1.62661,,2199650950,2418480943,2641010506,2838749182,2926315837,2604841484
Mansfield ISD,,,,,,,,1.51,1.54,1.54,1.46,1.4464,1.49928,,11855631267,13039797215,14108062080,15561686891,16492433276,14211522146
McKinney ISD,,,,,,,,1.62,1.62,1.59,1.48835,1.4747,1.55861,,12707816343,14171035120,15463720269,16719914803,17521670332,15316831373
Melissa ISD,,,,,,,,1.67,1.67,1.67,1.56835,1.463,1.60827,,818071016,999873342,1233850378,1506406007,1784026423,1268445433
Mesquite ISD,,,,,,,,1.46,1.46,1.52,1.45,1.4464,1.46728,,6983310655,7657882592,8341193550,9127934750,10119093006,8445882911
Midlothian ISD,,,,,,,,1.54,1.54,1.54,1.47,1.3798,1.49396,,3560604179,3921664352,4304247764,4858157941,5366291592,4402193166
Northwest ISD,,,,,,,,1.4525,1.49,1.49,1.42,1.4663,1.46376,,13134202193,14865134626,17561692186,20067500899,22511013079,17627908597
Pilot Point ISD,,,,,,,,1.37,1.37,1.37,1.26835,1.2186,1.31939,,645440524,710180185,775432569,876043551,945311069,790481579.6
Plano ISD,,,,,,,,1.439,1.439,1.439,1.33735,1.32375,1.39562,,45164702386,50010984443,54063697670,57283580484,58981777630,53100948523
Ponder ISD,,,,,,,,1.46784,1.46779,1.46779,1.46778,1.46418,1.467076,,590580733,608822635,740677400,785512653,730652722,691249228.6
Princeton ISD,,,,,,,,1.62,1.62,1.62,1.56835,1.4698,1.57963,,774095541,983206307,1234933151,1514309245,1778344353,1256977719
Prosper ISD,,,,,,,,1.67,1.67,1.67,1.56835,1.4927,1.61421,,5022524204,6603855064,8343020259,9859989088,11131959376,8192269598
Red Oak ISD,,,,,,,,1.54,1.54,1.54,1.43835,1.3592,1.48351,,1552472316,1699072560,1854474788,2115263429,2356504867,1915557592
Richardson ISD,,,,,,,,1.39005,1.39005,1.52,1.41835,1.4047,1.42463,,20382347171,22082810600,23755941099,25527502090,27209133414,23791546875
